Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite1,Chrome 125.0.0.0,,,13-06-2024 14:52:25,13-06-2024 14:55:55,3m - 30.075s,FAILED
,,,,,,,
Test Cases/TC/Academic,Chrome 125.0.0.0,,,13-06-2024 14:52:56,13-06-2024 14:53:05,9.320s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:52:56,13-06-2024 14:52:57,1.530s,PASSED
"navigateToUrl(""https://btu.ac.in/home/Home-Page114"")",Chrome 125.0.0.0,,,13-06-2024 14:52:57,13-06-2024 14:53:02,4.622s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/button_Accept Cookies""))",Chrome 125.0.0.0,,,13-06-2024 14:53:02,13-06-2024 14:53:03,1.116s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/a_BOS""))",Chrome 125.0.0.0,,,13-06-2024 14:53:03,13-06-2024 14:53:04,0.353s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/a_Notices""))",Chrome 125.0.0.0,,,13-06-2024 14:53:04,13-06-2024 14:53:04,0.299s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/a_QIV 2020-21""))",Chrome 125.0.0.0,,,13-06-2024 14:53:04,13-06-2024 14:53:04,0.301s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/a_Anti Ragging Measures""))",Chrome 125.0.0.0,,,13-06-2024 14:53:04,13-06-2024 14:53:04,0.308s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/a_QIV 2020-21""))",Chrome 125.0.0.0,,,13-06-2024 14:53:04,13-06-2024 14:53:05,0.285s,PASSED
"click(findTestObject(""Object Repository/Acadaemics/Page_Bikaner Technical University/a_Admissions""))",Chrome 125.0.0.0,,,13-06-2024 14:53:05,13-06-2024 14:53:05,0.478s,FAILED
,,,,,,,
Test Cases/TC/Admincase,Chrome 125.0.0.0,,,13-06-2024 14:53:05,13-06-2024 14:53:36,30.919s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:53:05,13-06-2024 14:53:07,1.354s,PASSED
"navigateToUrl(""https://btu.ac.in/home/"")",Chrome 125.0.0.0,,,13-06-2024 14:53:07,13-06-2024 14:53:12,5.526s,PASSED
"click(findTestObject(""Object Repository/Administrator/Page_Bikaner Technical University/a_Administration""))",Chrome 125.0.0.0,,,13-06-2024 14:53:12,13-06-2024 14:53:15,3.079s,PASSED
